iter	Passed	Remaining
434	3572	4639
435	3577	4628
436	3588	4623
437	3621	4646
438	3636	4646
439	3644	4637
440	3652	4629
441	3675	4640
442	3680	4627
443	3698	4631
444	3710	4627
445	3712	4612
446	3723	4606
447	3725	4590
448	3728	4575
449	3729	4558
450	3734	4545
451	3736	4529
452	3738	4513
453	3739	4497
454	3741	4481
455	3750	4474
456	3753	4459
457	3754	4443
458	3768	4441
459	3786	4444
460	3789	4431
461	3800	4425
462	3823	4434
463	3833	4428
464	3847	4427
465	3850	4412
466	3852	4396
467	3854	4381
468	3879	4392
469	3916	4416
470	3933	4418
471	3945	4413
472	3948	4399
473	3957	4391
474	3959	4376
475	3961	4361
476	3988	4372
477	3991	4358
478	4003	4354
479	4011	4345
480	4021	4339
481	4032	4333
482	4038	4322
483	4050	4318
484	4054	4305
485	4080	4315
486	4095	4314
487	4098	4299
488	4102	4287
489	4112	4279
490	4126	4277
491	4128	4263
492	4138	4255
493	4140	4241
494	4143	4227
495	4157	4224
496	4167	4217
497	4169	4203
498	4182	4198
499	4185	4185
500	4187	4170
501	4199	4166
502	4211	4161
503	4217	4150
504	4224	4140
505	4226	4126
506	4228	4111
507	4241	4107
508	4261	4110
509	4273	4105
510	4275	4091
511	4277	4077
512	4284	4067
513	4291	4057
514	4303	4053
515	4315	4047
516	4317	4033
517	4339	4037
518	4343	4025
519	4353	4018
520	4362	4010
521	4378	4009
522	4385	3999
523	4400	3997
524	4405	3985
525	4407	3971
526	4409	3957
527	4411	3943
528	4412	3929
529	4419	3918
530	4421	3904
531	4422	3890
532	4424	3876
533	4433	3869
534	4438	3858
535	4440	3844
536	4457	3842
537	4483	3849
538	4489	3839
539	4522	3852
540	4538	3850
541	4554	3849
542	4587	3861
543	4606	3860
544	4626	3862
545	4639	3857
546	4642	3844
547	4646	3832
548	4662	3830
549	4717	3860
550	4757	3876
551	4775	3875
552	4777	3861
553	4799	3863
554	4814	3860
555	4816	3846
556	4818	3832
557	4832	3828
558	4839	3818
559	4861	3819
560	4877	3817
561	4880	3803
562	4895	3799
563	4899	3787
564	4914	3784
565	4930	3780
566	4961	3788
567	4963	3774
568	4978	3770
569	5004	3775
570	5007	3762
571	5013	3751
572	5016	3738
573	5018	3724
574	5020	3710
575	5033	3705
576	5052	3703
577	5063	3697
578	5075	3690
579	5079	3678
580	5086	3668
581	5098	3661
582	5113	3657
583	5116	3644
584	5133	3641
585	5158	3644
586	5165	3634
587	5167	3620
588	5182	3616
589	5210	3620
590	5223	3614
591	5228	3603
592	5230	3589
593	5259	3594
594	5262	3581
595	5278	3577
596	5320	3591
597	5339	3589
598	5345	3578
599	5352	3568
600	5373	3567
601	5380	3557
602	5396	3553
603	5405	3543
604	5408	3531
605	5410	3517
606	5412	3504
607	5421	3495
608	5424	3482
609	5438	3476
610	5442	3464
611	5467	3466
612	5470	3453
613	5502	3459
614	5516	3453
615	5519	3440
616	5549	3444
617	5613	3469
618	5659	3483
619	5672	3476
620	5688	3471
621	5702	3465
622	5776	3495
623	5942	3580
624	6043	3625
625	6099	3644
626	6117	3639
627	6158	3647
628	6195	3654
629	6201	3642
630	6226	3641
631	6232	3629
632	6266	3633
633	6366	3675
634	6463	3715
635	6513	3727
636	6587	3754
637	6619	3755
638	6630	3745
639	6668	3750
640	6699	3751
641	6705	3739
642	6718	3730
643	6721	3715
644	6724	3700
645	6727	3686
646	6729	3671
647	6750	3666
648	6763	3657
649	6783	3652
650	6796	3643
651	6800	3629
652	6816	3622
653	6847	3622
654	6863	3615
655	6866	3600
656	6869	3586
657	6877	3574
658	6893	3566
659	6896	3552
660	6924	3551
661	6938	3542
662	6947	3531
663	6959	3521
664	6980	3516
665	6982	3501
666	6984	3487
667	6989	3473
668	6993	3460
669	6996	3445
670	6997	3431
671	6999	3416
672	7007	3404
673	7008	3390
674	7010	3375
675	7043	3376
676	7057	3367
677	7072	3358
678	7094	3353
679	7137	3359
680	7140	3344
681	7156	3337
682	7173	3329
683	7177	3316
684	7191	3307
685	7194	3293
686	7205	3282
687	7208	3269
688	7224	3260
689	7240	3252
690	7254	3244
691	7257	3230
692	7269	3220
693	7272	3206
694	7290	3199
695	7298	3187
696	7300	3173
697	7314	3164
698	7350	3165
699	7356	3152
700	7385	3150
701	7392	3138
702	7401	3126
703	7403	3112
704	7418	3104
705	7436	3096
706	7447	3086
707	7449	3072
708	7468	3065
709	7486	3057
710	7492	3045
711	7511	3038
712	7557	3042
713	7560	3028
714	7569	3017
715	7589	3010
716	7591	2996
717	7603	2986
718	7605	2972
719	7616	2961
720	7623	2949
721	7626	2936
722	7627	2922
723	7649	2916
724	7661	2905
725	7683	2899
726	7685	2886
727	7720	2884
728	7747	2880
729	7770	2873
730	7780	2863
731	7814	2860
732	7820	2848
733	7823	2835
734	7836	2825
735	7851	2816
736	7865	2806
737	7868	2793
738	7880	2783
739	7890	2772
740	7891	2758
741	7892	2744
742	7894	2730
743	7895	2716
744	7896	2702
745	7900	2690
746	7903	2676
747	7905	2663
748	7906	2649
749	7910	2636
750	7912	2623
751	7921	2612
752	7940	2604
753	7943	2591
754	7969	2585
755	7975	2573
756	7986	2563
757	7987	2550
758	7989	2536
759	7990	2523
760	7995	2511
761	8000	2498
762	8009	2487
763	8011	2474
764	8015	2462
765	8017	2449
766	8019	2436
767	8022	2423
768	8050	2418
769	8052	2405
770	8054	2392
771	8057	2379
772	8068	2369
773	8079	2359
774	8085	2347
775	8086	2334
776	8095	2323
777	8106	2313
778	8108	2300
779	8110	2287
780	8112	2274
781	8113	2261
782	8115	2249
783	8116	2236
784	8118	2223
785	8127	2212
786	8129	2200
787	8159	2195
788	8163	2183
789	8166	2170
790	8173	2159
791	8175	2146
792	8181	2135
793	8191	2125
794	8195	2113
795	8208	2103
796	8218	2093
797	8221	2081
798	8228	2069
799	8234	2058
800	8235	2046
801	8240	2034
802	8251	2024
803	8253	2012
804	8264	2001
805	8266	1989
806	8268	1977
807	8269	1965
808	8271	1952
809	8287	1944
810	8300	1934
811	8302	1922
812	8309	1911
813	8312	1899
814	8314	1887
815	8324	1877
816	8327	1865
817	8329	1853
818	8339	1843
819	8345	1831
820	8346	1819
821	8354	1809
822	8356	1797
823	8360	1785
824	8362	1773
825	8379	1765
826	8380	1753
827	8382	1741
828	8399	1732
829	8402	1720
830	8411	1710
831	8414	1699
832	8416	1687
833	8431	1678
834	8435	1666
835	8438	1655
836	8440	1643
837	8441	1631
838	8443	1620
839	8444	1608
840	8446	1596
841	8449	1585
842	8455	1574
843	8456	1563
844	8470	1553
845	8473	1542
846	8480	1531
847	8510	1525
848	8515	1514
849	8533	1505
850	8535	1494
851	8549	1485
852	8551	1473
853	8571	1465
854	8583	1455
855	8599	1446
856	8612	1437
857	8629	1428
858	8631	1416
859	8642	1406
860	8654	1397
861	8663	1387
862	8678	1377
863	8680	1366
864	8693	1356
865	8694	1345
866	8695	1333
867	8711	1324
868	8726	1315
869	8728	1304
870	8739	1294
871	8741	1283
872	8742	1271
873	8756	1262
874	8762	1251
875	8764	1240
876	8765	1229
877	8779	1219
878	8781	1208
879	8793	1199
880	8794	1187
881	8796	1176
882	8801	1166
883	8809	1156
884	8811	1144
885	8812	1133
886	8825	1124
887	8827	1113
888	8857	1105
889	8877	1097
890	8892	1087
891	8904	1078
892	8925	1069
893	8927	1058
894	8961	1051
895	9008	1045
896	9024	1036
897	9074	1030
898	9092	1021
899	9124	1013
900	9157	1006
901	9221	1001
902	9238	992
903	9253	982
904	9287	974
905	9326	967
906	9361	959
907	9376	950
908	9408	941
909	9425	932
910	9435	921
911	9437	910
912	9442	899
913	9477	891
914	9490	881
915	9492	870
916	9495	859
917	9497	848
918	9501	837
919	9522	828
920	9541	818
921	9607	812
922	9655	805
923	9710	798
924	9843	798
925	9846	786
926	9848	775
927	9907	768
928	10013	765
929	10020	754
930	10037	743
931	10040	732
932	10041	721
933	10043	709
934	10056	699
935	10073	688
936	10120	680
937	10140	670
938	10145	659
939	10147	647
940	10148	636
941	10149	624
942	10154	613
943	10164	602
944	10179	592
945	10194	581
946	10196	570
947	10209	560
948	10211	548
949	10212	537
950	10213	526
951	10228	515
952	10245	505
953	10263	494
954	10264	483
955	10279	473
956	10295	462
957	10311	452
958	10314	440
959	10341	430
960	10356	420
961	10362	409
962	10364	398
963	10370	387
964	10388	376
965	10393	365
966	10395	354
967	10411	344
968	10425	333
969	10427	322
970	10441	311
971	10457	301
972	10459	290
973	10463	279
974	10476	268
975	10505	258
976	10511	247
977	10545	237
978	10556	226
979	10580	215
980	10604	205
981	10646	195
982	10651	184
983	10653	173
984	10655	162
985	10667	151
986	10669	140
987	10685	129
988	10698	118
989	10712	108
990	10732	97
991	10746	86
992	10761	75
993	10845	65
994	10877	54
995	10892	43
996	10909	32
997	10943	21
998	10959	10
999	10977	0
